text,input_ids,attention_mask,label,exp,idx_example,OPT_prob_CD,OPT_idx_CD
['{The chief complaint of reformers these days is that the power of special-interest money is breeding public cynicism about the political process.} question: {Reformers never complain about special interest money.  } Yes or No? answer: Ġ'],"[[2, 45152, 133, 834, 3674, 9, 3114, 268, 209, 360, 16, 14, 5, 476, 9, 780, 12, 15979, 418, 16, 16828, 285, 39245, 59, 5, 559, 609, 49463, 864, 35, 25522, 9064, 3899, 268, 393, 11316, 59, 780, 773, 418, 4, 1437, 35524, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[1],"[[0.5595703125, 0.4228515625, 0.002040863037109375, 0.0013256072998046875, 0.0009522438049316406, 0.000576019287109375, 0.0005278587341308594, 0.0005230903625488281, 0.0004792213439941406, 0.00046062469482421875, 0.0004420280456542969, 0.00042510032653808594, 0.00029349327087402344, 0.0002777576446533203, 0.000274658203125, 0.00024366378784179688, 0.00023126602172851562, 0.00015354156494140625, 0.00015151500701904297, 0.00014781951904296875, 0.0001424551010131836, 0.00014209747314453125, 0.00014162063598632812, 0.0001386404037475586, 0.0001342296600341797, 0.00012731552124023438, 0.0001226663589477539, 0.00011658668518066406, 0.0001137852668762207, 0.00011271238327026367, 0.00010651350021362305, 0.0001023411750793457, 0.0001017451286315918, 0.00010007619857788086, 9.846687316894531e-05, 8.821487426757812e-05, 8.791685104370117e-05, 8.738040924072266e-05, 8.702278137207031e-05, 8.553266525268555e-05, 8.52346420288086e-05, 8.511543273925781e-05, 8.07046890258789e-05, 8.034706115722656e-05, 7.56978988647461e-05, 7.218122482299805e-05, 7.021427154541016e-05, 6.842613220214844e-05, 6.717443466186523e-05, 6.687641143798828e-05, 0.0048828125]]","[[3084, 9904, 7199, 14541, 487, 39254, 243, 100, 10932, 14783, 13449, 29802, 440, 3216, 16991, 2362, 32541, 7516, 250, 6323, 8346, 22491, 36948, 1185, 133, 12350, 35882, 10643, 970, 50118, 2895, 14563, 37128, 32458, 104, 113, 46236, 32476, 1213, 6766, 33239, 1711, 31535, 975, 170, 38980, 32523, 1121, 713, 13624]]"
"[""{The game's up.} question: {The game keeps going.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 177, 18, 62, 49463, 864, 35, 25522, 133, 177, 4719, 164, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[2],"[[0.5029296875, 0.4833984375, 0.000942230224609375, 0.0008563995361328125, 0.0008397102355957031, 0.0007715225219726562, 0.0005984306335449219, 0.0005216598510742188, 0.0003437995910644531, 0.0002665519714355469, 0.00024962425231933594, 0.0002474784851074219, 0.00020420551300048828, 0.00019371509552001953, 0.00018453598022460938, 0.00017058849334716797, 0.00016450881958007812, 0.0001628398895263672, 0.00015997886657714844, 0.0001500844955444336, 0.00014650821685791016, 0.00014650821685791016, 0.00012683868408203125, 0.0001245737075805664, 0.00012409687042236328, 0.00011628866195678711, 0.00011610984802246094, 0.00010335445404052734, 0.00010013580322265625, 9.101629257202148e-05, 8.887052536010742e-05, 8.404254913330078e-05, 8.14199447631836e-05, 8.022785186767578e-05, 7.963180541992188e-05, 7.62939453125e-05, 7.134675979614258e-05, 7.051229476928711e-05, 7.003545761108398e-05, 6.902217864990234e-05, 6.449222564697266e-05, 6.210803985595703e-05, 6.121397018432617e-05, 5.9723854064941406e-05, 5.5789947509765625e-05, 5.5730342864990234e-05, 5.459785461425781e-05, 5.3048133850097656e-05, 5.036592483520508e-05, 5.0127506256103516e-05, 0.00390625]]","[[3084, 9904, 7199, 243, 39254, 16991, 29802, 14541, 100, 487, 14783, 10932, 32541, 13449, 3216, 440, 12350, 6323, 133, 36948, 250, 970, 7516, 10643, 1185, 22491, 2362, 8346, 1711, 40671, 3684, 104, 1121, 170, 50118, 32476, 13624, 19847, 2895, 19933, 33239, 8275, 33082, 46236, 46659, 113, 1213, 713, 32458, 34790]]"
"[""{Nobody pointed out that at Chappaquiddick, unlike Dallas and Los Angeles, the person most responsible for the tragedy was a Kennedy, whereas the victim was not--and that Ted Kennedy's invocation of the family curse was a clever way of papering over these differences.} question: {Ted Kennedy invoked a family curse that has plagued the Kennedys.} Yes or No? answer: Ġ""]","[[2, 45152, 18975, 3273, 66, 14, 23, 732, 22181, 2253, 6502, 1758, 6, 7328, 3160, 8, 1287, 1422, 6, 5, 621, 144, 2149, 13, 5, 6906, 21, 10, 5076, 6, 9641, 5, 1802, 21, 45, 5579, 463, 14, 8115, 5076, 18, 44885, 9, 5, 284, 26020, 21, 10, 13074, 169, 9, 13102, 2961, 81, 209, 5550, 49463, 864, 35, 25522, 40348, 5076, 29198, 10, 284, 26020, 14, 34, 16145, 5, 19082, 196, 2459, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[3],"[[0.61474609375, 0.372314453125, 0.0013570785522460938, 0.0010814666748046875, 0.0008025169372558594, 0.0006375312805175781, 0.0006017684936523438, 0.0003952980041503906, 0.0003325939178466797, 0.00031495094299316406, 0.000274658203125, 0.0002200603485107422, 0.00020062923431396484, 0.00017201900482177734, 0.00015592575073242188, 0.00015532970428466797, 0.0001418590545654297, 0.00013053417205810547, 0.00012826919555664062, 0.00011938810348510742, 0.00011330842971801758, 0.00010132789611816406, 0.0001004934310913086, 9.554624557495117e-05, 8.618831634521484e-05, 8.571147918701172e-05, 8.535385131835938e-05, 8.207559585571289e-05, 8.195638656616211e-05, 7.802248001098633e-05, 7.492303848266602e-05, 7.194280624389648e-05, 7.18832015991211e-05, 6.848573684692383e-05, 6.788969039916992e-05, 6.592273712158203e-05, 6.41942024230957e-05, 6.270408630371094e-05, 6.258487701416016e-05, 6.079673767089844e-05, 5.990266799926758e-05, 5.9664249420166016e-05, 5.942583084106445e-05, 5.799531936645508e-05, 5.692243576049805e-05, 5.46574592590332e-05, 5.328655242919922e-05, 4.9173831939697266e-05, 4.857778549194336e-05, 4.8160552978515625e-05, 0.00341796875]]","[[9904, 3084, 39254, 7199, 14541, 29802, 16991, 243, 100, 3216, 10932, 487, 14783, 32541, 13449, 50118, 12350, 440, 36948, 8346, 32458, 6323, 32476, 17, 6766, 10643, 133, 7516, 25101, 22491, 970, 7608, 170, 1711, 2895, 894, 1185, 250, 27847, 2362, 4420, 14563, 104, 33239, 31535, 40566, 35882, 10365, 40671, 1121]]"
"['{Check with the tourist information centers for details about these and similar events at Dalemain, Holker Hall, and Muncaster Castle.} question: {The tourist information centers have information about events at Holker Hall.} Yes or No? answer: Ġ']","[[2, 45152, 26615, 19, 5, 8376, 335, 5228, 13, 1254, 59, 209, 8, 1122, 1061, 23, 7853, 991, 1851, 6, 6217, 5029, 1631, 6, 8, 6760, 15543, 8834, 49463, 864, 35, 25522, 133, 8376, 335, 5228, 33, 335, 59, 1061, 23, 6217, 5029, 1631, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[4],"[[0.60791015625, 0.385498046875, 0.0003960132598876953, 0.0003523826599121094, 0.0003387928009033203, 0.0002980232238769531, 0.0002923011779785156, 0.0002155303955078125, 0.00019228458404541016, 0.0001780986785888672, 0.0001767873764038086, 0.0001609325408935547, 0.00012922286987304688, 0.00012087821960449219, 0.00011801719665527344, 0.00010675191879272461, 7.742643356323242e-05, 7.730722427368164e-05, 7.706880569458008e-05, 7.18235969543457e-05, 6.777048110961914e-05, 5.751848220825195e-05, 5.692243576049805e-05, 5.143880844116211e-05, 5.1021575927734375e-05, 5.08427619934082e-05, 4.4345855712890625e-05, 4.285573959350586e-05, 4.13060188293457e-05, 4.07099723815918e-05, 4.035234451293945e-05, 3.8743019104003906e-05, 3.8683414459228516e-05, 3.820657730102539e-05, 3.737211227416992e-05, 3.713369369506836e-05, 3.5762786865234375e-05, 3.4868717193603516e-05, 3.457069396972656e-05, 3.331899642944336e-05, 3.260374069213867e-05, 3.0219554901123047e-05, 3.0159950256347656e-05, 2.9921531677246094e-05, 2.9861927032470703e-05, 2.962350845336914e-05, 2.8073787689208984e-05, 2.676248550415039e-05, 2.6524066925048828e-05, 2.6166439056396484e-05, 0.001953125]]","[[9904, 3084, 29802, 7199, 39254, 16991, 14541, 14783, 3216, 243, 10932, 487, 13449, 100, 36948, 32541, 7516, 50118, 12350, 2362, 440, 10643, 970, 46236, 1185, 31535, 4420, 8346, 6766, 6323, 133, 250, 33239, 22491, 46659, 170, 104, 113, 1213, 41010, 32476, 33082, 8275, 2895, 1711, 14563, 3684, 40566, 32458, 7608]]"
"['{He set up a national e-mail tree designed to get people to send their friends in Iowa to Ames as Forbes supporters.} question: {He wanted to set up a national e-mail tree, but gave up halfway.} Yes or No? answer: Ġ']","[[2, 45152, 894, 278, 62, 10, 632, 364, 12, 6380, 3907, 1887, 7, 120, 82, 7, 2142, 49, 964, 11, 4109, 7, 32456, 25, 11519, 2732, 49463, 864, 35, 25522, 894, 770, 7, 278, 62, 10, 632, 364, 12, 6380, 3907, 6, 53, 851, 62, 13177, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[5],"[[0.70556640625, 0.2861328125, 0.000766754150390625, 0.0007100105285644531, 0.0004169940948486328, 0.0003190040588378906, 0.0002949237823486328, 0.00027251243591308594, 0.00025534629821777344, 0.00022089481353759766, 0.00019729137420654297, 0.00018846988677978516, 0.00011366605758666992, 0.0001131296157836914, 0.00011283159255981445, 0.0001036524772644043, 9.79304313659668e-05, 8.994340896606445e-05, 8.893013000488281e-05, 8.827447891235352e-05, 8.183717727661133e-05, 7.343292236328125e-05, 7.12275505065918e-05, 6.914138793945312e-05, 6.622076034545898e-05, 6.580352783203125e-05, 6.580352783203125e-05, 6.431341171264648e-05, 6.413459777832031e-05, 6.097555160522461e-05, 5.8650970458984375e-05, 5.841255187988281e-05, 5.4776668548583984e-05, 5.453824996948242e-05, 5.453824996948242e-05, 5.233287811279297e-05, 4.8995018005371094e-05, 4.8041343688964844e-05, 4.8041343688964844e-05, 4.774332046508789e-05, 4.3392181396484375e-05, 4.2498111724853516e-05, 4.166364669799805e-05, 3.820657730102539e-05, 3.7789344787597656e-05, 3.540515899658203e-05, 3.445148468017578e-05, 3.3974647521972656e-05, 3.2067298889160156e-05, 3.1054019927978516e-05, 0.00244140625]]","[[3084, 9904, 7199, 14541, 243, 29802, 100, 487, 39254, 14783, 440, 13449, 10932, 2362, 16991, 6323, 7516, 6766, 32541, 3216, 22491, 50118, 970, 33239, 250, 12350, 14563, 133, 894, 1185, 8346, 1711, 10643, 31535, 113, 170, 1121, 37128, 7608, 8275, 32458, 19847, 104, 35882, 32476, 2895, 13624, 36948, 7939, 713]]"
"[""{The English philanthropist visited the city several times and organized the construction of Mishkenot Sha'ananim, a row of dwellings built to encourage Jews to move from the overcrowded Jewish Quarter of the Old Cityto more modern and healthy places outside the walls.} question: {Mishkenot Sha'ananim was constructed by an English philanthropist.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 2370, 14054, 661, 3790, 5, 343, 484, 498, 8, 5798, 5, 1663, 9, 22975, 6944, 1242, 10319, 108, 260, 25042, 6, 10, 3236, 9, 37324, 1490, 7, 3803, 8609, 7, 517, 31, 5, 22002, 196, 4586, 10830, 9, 5, 3470, 412, 560, 55, 2297, 8, 2245, 2127, 751, 5, 6347, 49463, 864, 35, 25522, 448, 1173, 6944, 1242, 10319, 108, 260, 25042, 21, 11236, 30, 41, 2370, 14054, 661, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[6],"[[0.74267578125, 0.251708984375, 0.00034689903259277344, 0.00034689903259277344, 0.00025010108947753906, 0.0002123117446899414, 0.00019848346710205078, 0.00018870830535888672, 0.00018274784088134766, 0.00015735626220703125, 0.0001327991485595703, 0.00013124942779541016, 0.0001049041748046875, 9.584426879882812e-05, 8.296966552734375e-05, 7.56978988647461e-05, 7.075071334838867e-05, 6.103515625e-05, 5.27501106262207e-05, 5.1021575927734375e-05, 4.845857620239258e-05, 4.845857620239258e-05, 4.7206878662109375e-05, 4.649162292480469e-05, 4.5359134674072266e-05, 4.488229751586914e-05, 4.285573959350586e-05, 3.88026237487793e-05, 3.653764724731445e-05, 3.606081008911133e-05, 3.4809112548828125e-05, 3.4809112548828125e-05, 3.3915042877197266e-05, 3.30805778503418e-05, 3.254413604736328e-05, 3.1828880310058594e-05, 3.153085708618164e-05, 3.081560134887695e-05, 3.0279159545898438e-05, 3.0279159545898438e-05, 2.8908252716064453e-05, 2.8908252716064453e-05, 2.7954578399658203e-05, 2.7358531951904297e-05, 2.7060508728027344e-05, 2.5212764739990234e-05, 2.4378299713134766e-05, 2.4020671844482422e-05, 2.3424625396728516e-05, 2.2292137145996094e-05, 0.001953125]]","[[9904, 3084, 10932, 7199, 14541, 39254, 29802, 16991, 3216, 243, 14783, 100, 487, 36948, 13449, 32541, 50118, 12350, 10643, 2362, 113, 104, 4420, 133, 41010, 250, 7516, 6323, 31535, 440, 8346, 14563, 1185, 46236, 32458, 1711, 46659, 40566, 22491, 970, 37128, 170, 32476, 975, 1121, 713, 25101, 894, 33239, 2895]]"
"['{Since NOx emissions result in formation of ground-level ozone, reducing NOx emissions will reduce ozone levels and thus reduce the deleterious effects of ozone on human health and ecosystems.} question: {The formation of ground level ozone is affected by NOx emissions.} Yes or No? answer: Ġ']","[[2, 45152, 11321, 8228, 1178, 5035, 898, 11, 9285, 9, 1255, 12, 4483, 34011, 6, 4881, 8228, 1178, 5035, 40, 1888, 34011, 1389, 8, 4634, 1888, 5, 32169, 1334, 6514, 3038, 9, 34011, 15, 1050, 474, 8, 24843, 49463, 864, 35, 25522, 133, 9285, 9, 1255, 672, 34011, 16, 2132, 30, 8228, 1178, 5035, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[7],"[[0.560546875, 0.4296875, 0.0010623931884765625, 0.001007080078125, 0.0006136894226074219, 0.0003447532653808594, 0.0003325939178466797, 0.0002739429473876953, 0.0002510547637939453, 0.00023758411407470703, 0.0001995563507080078, 0.0001990795135498047, 0.00019538402557373047, 0.00014066696166992188, 0.00012242794036865234, 0.00010657310485839844, 9.906291961669922e-05, 8.887052536010742e-05, 8.58306884765625e-05, 8.356571197509766e-05, 8.249282836914062e-05, 7.486343383789062e-05, 7.432699203491211e-05, 6.872415542602539e-05, 6.80685043334961e-05, 6.604194641113281e-05, 6.455183029174805e-05, 6.407499313354492e-05, 6.133317947387695e-05, 5.91278076171875e-05, 5.8531761169433594e-05, 5.710124969482422e-05, 5.269050598144531e-05, 5.2034854888916016e-05, 4.464387893676758e-05, 4.4465065002441406e-05, 4.4345855712890625e-05, 4.303455352783203e-05, 4.2378902435302734e-05, 4.208087921142578e-05, 4.1365623474121094e-05, 4.100799560546875e-05, 3.892183303833008e-05, 3.886222839355469e-05, 3.784894943237305e-05, 3.528594970703125e-05, 3.403425216674805e-05, 3.3915042877197266e-05, 3.361701965332031e-05, 3.343820571899414e-05, 0.0029296875]]","[[9904, 3084, 16991, 39254, 7199, 14541, 13449, 10932, 29802, 243, 3216, 487, 100, 14783, 32541, 50118, 440, 10643, 2362, 133, 36948, 8346, 6323, 12350, 33239, 41010, 250, 970, 14563, 2895, 4420, 32476, 1185, 7516, 170, 25101, 104, 37128, 1711, 40671, 32458, 22491, 46659, 1121, 35882, 713, 7608, 8275, 32523, 31535]]"
"['{Thus, in 1997, on average, households made less than one payment by mail for every two bills received in the mail.} question: {Households make 80% of their payments by mail.} Yes or No? answer: Ġ']","[[2, 45152, 42702, 6, 11, 7528, 6, 15, 674, 6, 8195, 156, 540, 87, 65, 3207, 30, 7107, 13, 358, 80, 4033, 829, 11, 5, 7107, 49463, 864, 35, 25522, 18691, 4208, 29, 146, 1812, 207, 9, 49, 3081, 30, 7107, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[8],"[[0.52392578125, 0.46630859375, 0.000804901123046875, 0.0005826950073242188, 0.0004935264587402344, 0.0004506111145019531, 0.0003573894500732422, 0.0003409385681152344, 0.0002658367156982422, 0.0002493858337402344, 0.0001926422119140625, 0.00018525123596191406, 0.00018024444580078125, 0.00017952919006347656, 0.00016415119171142578, 0.0001533031463623047, 0.0001169443130493164, 9.137392044067383e-05, 8.946657180786133e-05, 8.7738037109375e-05, 8.45789909362793e-05, 8.082389831542969e-05, 7.843971252441406e-05, 7.635354995727539e-05, 7.414817810058594e-05, 7.390975952148438e-05, 7.098913192749023e-05, 6.985664367675781e-05, 6.747245788574219e-05, 6.16312026977539e-05, 6.097555160522461e-05, 5.65648078918457e-05, 5.638599395751953e-05, 5.5730342864990234e-05, 5.5670738220214844e-05, 5.5670738220214844e-05, 5.507469177246094e-05, 5.3942203521728516e-05, 5.358457565307617e-05, 5.08427619934082e-05, 5.02467155456543e-05, 4.982948303222656e-05, 4.941225051879883e-05, 4.690885543823242e-05, 4.363059997558594e-05, 4.3511390686035156e-05, 4.124641418457031e-05, 4.112720489501953e-05, 3.927946090698242e-05, 3.921985626220703e-05, 0.0029296875]]","[[3084, 9904, 7199, 14541, 39254, 487, 16991, 29802, 243, 13449, 14783, 100, 10932, 36948, 32541, 3216, 440, 33239, 10643, 2895, 14563, 6323, 2362, 46659, 12350, 8346, 7516, 37128, 250, 133, 104, 25101, 1185, 32476, 970, 32458, 35882, 22491, 113, 50118, 1711, 6766, 46236, 1121, 41010, 40671, 170, 7608, 31535, 9690]]"
"[""{Mary and John stand on either side of the crucified Jesus upheld by his Father, while the dove of the Holy Spirit hovers between them, the whole forming an inspiring triangle under the coffered ceiling of a Renaissance chapel.} question: {Only Jesus, alone on the cross, is depicted on the chapel's ceiling.} Yes or No? answer: Ġ""]","[[2, 45152, 24877, 8, 610, 1413, 15, 1169, 526, 9, 5, 40101, 3786, 5772, 14817, 30, 39, 9510, 6, 150, 5, 27764, 9, 5, 8427, 11758, 9379, 3697, 227, 106, 6, 5, 1086, 12748, 41, 11653, 29884, 223, 5, 32718, 3215, 9920, 9, 10, 19797, 27070, 49463, 864, 35, 25522, 19933, 5772, 6, 1937, 15, 5, 2116, 6, 16, 21520, 15, 5, 27070, 18, 9920, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[9],"[[0.55712890625, 0.42138671875, 0.002559661865234375, 0.001857757568359375, 0.0012073516845703125, 0.0011882781982421875, 0.000885009765625, 0.0008440017700195312, 0.000774383544921875, 0.0003654956817626953, 0.00025272369384765625, 0.000244140625, 0.00021219253540039062, 0.0002052783966064453, 0.00019800662994384766, 0.0001939535140991211, 0.00018668174743652344, 0.00018477439880371094, 0.00017499923706054688, 0.0001704692840576172, 0.00016832351684570312, 0.00016069412231445312, 0.00015783309936523438, 0.00015747547149658203, 0.00015473365783691406, 0.00014734268188476562, 0.00014483928680419922, 0.00014138221740722656, 0.00013256072998046875, 0.00013244152069091797, 0.00012993812561035156, 0.0001289844512939453, 0.00012600421905517578, 0.00012481212615966797, 0.00012117624282836914, 0.00011897087097167969, 0.00011873245239257812, 0.00011867284774780273, 0.00011837482452392578, 0.00011032819747924805, 0.00010973215103149414, 0.00010216236114501953, 0.00010186433792114258, 9.721517562866211e-05, 9.66787338256836e-05, 8.863210678100586e-05, 8.58306884765625e-05, 8.243322372436523e-05, 8.231401443481445e-05, 8.165836334228516e-05, 0.00634765625]]","[[3084, 9904, 39254, 16991, 7199, 14541, 29802, 100, 243, 487, 14783, 133, 3216, 440, 12350, 32541, 10932, 1213, 10643, 13449, 250, 36948, 970, 22491, 50118, 1711, 7516, 1185, 2895, 19933, 40671, 6766, 3684, 170, 713, 6323, 113, 2362, 104, 32458, 32476, 1121, 33239, 8346, 35882, 9685, 19847, 7608, 8275, 25101]]"
"[""{'Think about what you're doing,' I implored.} question: {I told him to think about his actions.} Yes or No? answer: Ġ""]","[[2, 45152, 108, 26644, 59, 99, 47, 214, 608, 1598, 38, 12956, 3995, 49463, 864, 35, 25522, 100, 174, 123, 7, 206, 59, 39, 2163, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[10],"[[0.57373046875, 0.40869140625, 0.0012722015380859375, 0.000926971435546875, 0.0007886886596679688, 0.0007576942443847656, 0.0007038116455078125, 0.0006575584411621094, 0.0006470680236816406, 0.00046825408935546875, 0.0003521442413330078, 0.000301361083984375, 0.0002751350402832031, 0.000274658203125, 0.0002586841583251953, 0.00021505355834960938, 0.0002086162567138672, 0.0002084970474243164, 0.00019490718841552734, 0.00018894672393798828, 0.00016486644744873047, 0.00014841556549072266, 0.00014662742614746094, 0.00014472007751464844, 0.0001341104507446289, 0.00013077259063720703, 0.0001304149627685547, 0.00012755393981933594, 0.0001226663589477539, 0.00012177228927612305, 0.00012099742889404297, 0.00011861324310302734, 0.00011199712753295898, 0.00010484457015991211, 0.00010406970977783203, 0.00010210275650024414, 0.00010210275650024414, 0.00010037422180175781, 9.763240814208984e-05, 9.232759475708008e-05, 8.922815322875977e-05, 8.654594421386719e-05, 8.45789909362793e-05, 8.33272933959961e-05, 8.285045623779297e-05, 7.778406143188477e-05, 7.331371307373047e-05, 6.884336471557617e-05, 6.836652755737305e-05, 6.61015510559082e-05, 0.005859375]]","[[9904, 3084, 7199, 100, 16991, 39254, 14541, 10932, 487, 243, 14783, 29802, 13449, 113, 32541, 3216, 2362, 12350, 1185, 10643, 7516, 108, 22491, 36948, 6323, 250, 1711, 894, 32458, 133, 32476, 970, 440, 6766, 8346, 1121, 40671, 104, 7608, 8275, 40566, 50118, 170, 46236, 13624, 19933, 33239, 2895, 32523, 35882]]"
