text,input_ids,attention_mask,label,exp,idx_example,OPT_prob_CD,OPT_idx_CD
['{The chief complaint of reformers these days is that the power of special-interest money is breeding public cynicism about the political process.} question: {Reformers never complain about special interest money.  } Yes or No? answer: Ġ'],"[[2, 45152, 133, 834, 3674, 9, 3114, 268, 209, 360, 16, 14, 5, 476, 9, 780, 12, 15979, 418, 16, 16828, 285, 39245, 59, 5, 559, 609, 49463, 864, 35, 25522, 9064, 3899, 268, 393, 11316, 59, 780, 773, 418, 4, 1437, 35524, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[1],"[[0.8037109375, 0.1849365234375, 0.0009665489196777344, 0.0005044937133789062, 0.0004355907440185547, 0.0003979206085205078, 0.0002944469451904297, 0.0002796649932861328, 0.00027489662170410156, 0.0002620220184326172, 0.00024700164794921875, 0.00022268295288085938, 0.00022077560424804688, 0.00018525123596191406, 0.00017404556274414062, 0.0001653432846069336, 0.00013554096221923828, 0.00012934207916259766, 0.00012683868408203125, 0.00011348724365234375, 9.757280349731445e-05, 9.304285049438477e-05, 8.940696716308594e-05, 8.398294448852539e-05, 8.249282836914062e-05, 8.165836334228516e-05, 7.915496826171875e-05, 7.915496826171875e-05, 7.766485214233398e-05, 7.444620132446289e-05, 7.420778274536133e-05, 7.2479248046875e-05, 7.236003875732422e-05, 7.18832015991211e-05, 7.128715515136719e-05, 7.12275505065918e-05, 6.818771362304688e-05, 6.574392318725586e-05, 6.568431854248047e-05, 6.401538848876953e-05, 6.210803985595703e-05, 5.644559860229492e-05, 5.412101745605469e-05, 5.3822994232177734e-05, 5.352497100830078e-05, 5.060434341430664e-05, 5.030632019042969e-05, 5.0127506256103516e-05, 4.780292510986328e-05, 4.750490188598633e-05, 0.00439453125]]","[[3084, 9904, 7199, 487, 14541, 36948, 22491, 133, 100, 243, 1213, 13449, 46659, 347, 673, 1185, 250, 713, 440, 33567, 9064, 13624, 1106, 510, 19933, 1121, 13984, 495, 29802, 7516, 2895, 10643, 1711, 50118, 37478, 14783, 8275, 970, 6766, 12375, 2264, 30612, 3684, 597, 7608, 37128, 16991, 14563, 4688, 6209]]"
"[""{The game's up.} question: {The game keeps going.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 177, 18, 62, 49463, 864, 35, 25522, 133, 177, 4719, 164, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[2],"[[0.5986328125, 0.393798828125, 0.0004811286926269531, 0.00043654441833496094, 0.00040411949157714844, 0.00028324127197265625, 0.0002713203430175781, 0.00025272369384765625, 0.000133514404296875, 0.00013148784637451172, 0.0001308917999267578, 0.00012290477752685547, 0.00011646747589111328, 0.00011259317398071289, 8.26716423034668e-05, 7.992982864379883e-05, 7.873773574829102e-05, 7.659196853637695e-05, 7.49826431274414e-05, 7.30752944946289e-05, 6.794929504394531e-05, 6.663799285888672e-05, 6.216764450073242e-05, 6.157159805297852e-05, 6.008148193359375e-05, 5.829334259033203e-05, 5.644559860229492e-05, 5.5849552154541016e-05, 4.845857620239258e-05, 4.798173904418945e-05, 4.684925079345703e-05, 4.51207160949707e-05, 4.464387893676758e-05, 4.4226646423339844e-05, 4.38690185546875e-05, 4.374980926513672e-05, 4.374980926513672e-05, 4.112720489501953e-05, 4.07099723815918e-05, 4.0650367736816406e-05, 3.993511199951172e-05, 3.9577484130859375e-05, 3.9458274841308594e-05, 3.737211227416992e-05, 3.725290298461914e-05, 3.68952751159668e-05, 3.552436828613281e-05, 3.516674041748047e-05, 3.4749507904052734e-05, 3.3974647521972656e-05, 0.0029296875]]","[[3084, 9904, 487, 7199, 13449, 14541, 243, 100, 22491, 673, 133, 14783, 16991, 1185, 7516, 250, 29802, 1106, 10643, 14563, 975, 1121, 13624, 713, 30612, 5975, 3216, 36948, 440, 2362, 6766, 510, 8275, 41010, 597, 39254, 12375, 565, 448, 37478, 2264, 10932, 3684, 170, 1711, 46236, 104, 2709, 970, 2847]]"
"[""{Nobody pointed out that at Chappaquiddick, unlike Dallas and Los Angeles, the person most responsible for the tragedy was a Kennedy, whereas the victim was not--and that Ted Kennedy's invocation of the family curse was a clever way of papering over these differences.} question: {Ted Kennedy invoked a family curse that has plagued the Kennedys.} Yes or No? answer: Ġ""]","[[2, 45152, 18975, 3273, 66, 14, 23, 732, 22181, 2253, 6502, 1758, 6, 7328, 3160, 8, 1287, 1422, 6, 5, 621, 144, 2149, 13, 5, 6906, 21, 10, 5076, 6, 9641, 5, 1802, 21, 45, 5579, 463, 14, 8115, 5076, 18, 44885, 9, 5, 284, 26020, 21, 10, 13074, 169, 9, 13102, 2961, 81, 209, 5550, 49463, 864, 35, 25522, 40348, 5076, 29198, 10, 284, 26020, 14, 34, 16145, 5, 19082, 196, 2459, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[3],"[[0.70068359375, 0.29296875, 0.0005240440368652344, 0.00037169456481933594, 0.0002772808074951172, 0.0002644062042236328, 0.00017344951629638672, 0.00017201900482177734, 0.00013935565948486328, 0.00013637542724609375, 0.0001137852668762207, 8.660554885864258e-05, 8.034706115722656e-05, 7.581710815429688e-05, 6.288290023803711e-05, 5.650520324707031e-05, 5.549192428588867e-05, 5.543231964111328e-05, 4.863739013671875e-05, 4.8041343688964844e-05, 4.661083221435547e-05, 4.5418739318847656e-05, 4.470348358154297e-05, 4.470348358154297e-05, 4.363059997558594e-05, 4.220008850097656e-05, 4.166364669799805e-05, 4.094839096069336e-05, 3.9577484130859375e-05, 3.886222839355469e-05, 3.8564205169677734e-05, 3.737211227416992e-05, 3.6656856536865234e-05, 3.6597251892089844e-05, 3.62396240234375e-05, 3.5703182220458984e-05, 3.4809112548828125e-05, 3.463029861450195e-05, 3.457069396972656e-05, 3.451108932495117e-05, 3.4332275390625e-05, 3.3855438232421875e-05, 3.349781036376953e-05, 3.24249267578125e-05, 3.2067298889160156e-05, 3.153085708618164e-05, 3.075599670410156e-05, 3.045797348022461e-05, 2.950429916381836e-05, 2.9146671295166016e-05, 0.00244140625]]","[[9904, 3084, 7199, 14541, 36948, 100, 243, 673, 487, 133, 3216, 250, 713, 50118, 14783, 1185, 12375, 1121, 1106, 347, 44241, 33567, 495, 510, 6209, 20328, 16991, 975, 13449, 9685, 2895, 6766, 32458, 29802, 13624, 46659, 1711, 440, 597, 7516, 10004, 2264, 565, 894, 10932, 22491, 104, 8275, 448, 19933]]"
"['{Check with the tourist information centers for details about these and similar events at Dalemain, Holker Hall, and Muncaster Castle.} question: {The tourist information centers have information about events at Holker Hall.} Yes or No? answer: Ġ']","[[2, 45152, 26615, 19, 5, 8376, 335, 5228, 13, 1254, 59, 209, 8, 1122, 1061, 23, 7853, 991, 1851, 6, 6217, 5029, 1631, 6, 8, 6760, 15543, 8834, 49463, 864, 35, 25522, 133, 8376, 335, 5228, 33, 335, 59, 1061, 23, 6217, 5029, 1631, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[4],"[[0.72119140625, 0.275390625, 0.00020599365234375, 0.00019490718841552734, 0.0001233816146850586, 0.00011116266250610352, 0.00010961294174194336, 6.473064422607422e-05, 6.461143493652344e-05, 6.216764450073242e-05, 5.918741226196289e-05, 5.3822994232177734e-05, 5.072355270385742e-05, 5.042552947998047e-05, 4.553794860839844e-05, 4.225969314575195e-05, 4.100799560546875e-05, 3.701448440551758e-05, 3.594160079956055e-05, 3.457069396972656e-05, 3.409385681152344e-05, 3.3974647521972656e-05, 3.3795833587646484e-05, 3.36766242980957e-05, 3.2067298889160156e-05, 3.129243850708008e-05, 3.063678741455078e-05, 2.9981136322021484e-05, 2.8312206268310547e-05, 2.765655517578125e-05, 2.491474151611328e-05, 2.4080276489257812e-05, 2.205371856689453e-05, 2.193450927734375e-05, 2.1696090698242188e-05, 2.0802021026611328e-05, 2.0384788513183594e-05, 1.990795135498047e-05, 1.9729137420654297e-05, 1.8835067749023438e-05, 1.8417835235595703e-05, 1.823902130126953e-05, 1.7821788787841797e-05, 1.7583370208740234e-05, 1.710653305053711e-05, 1.6689300537109375e-05, 1.633167266845703e-05, 1.609325408935547e-05, 1.5854835510253906e-05, 1.5735626220703125e-05, 0.00146484375]]","[[9904, 3084, 7199, 14541, 487, 100, 133, 13449, 243, 1106, 1185, 3216, 14783, 250, 673, 8275, 713, 6766, 29802, 510, 10004, 448, 50118, 495, 16991, 975, 104, 7516, 565, 725, 1121, 36948, 2895, 19933, 41010, 2709, 597, 6209, 170, 347, 387, 1213, 44241, 32541, 6715, 20328, 22491, 13624, 1640, 3972]]"
"['{He set up a national e-mail tree designed to get people to send their friends in Iowa to Ames as Forbes supporters.} question: {He wanted to set up a national e-mail tree, but gave up halfway.} Yes or No? answer: Ġ']","[[2, 45152, 894, 278, 62, 10, 632, 364, 12, 6380, 3907, 1887, 7, 120, 82, 7, 2142, 49, 964, 11, 4109, 7, 32456, 25, 11519, 2732, 49463, 864, 35, 25522, 894, 770, 7, 278, 62, 10, 632, 364, 12, 6380, 3907, 6, 53, 851, 62, 13177, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[5],"[[0.86376953125, 0.128173828125, 0.0015010833740234375, 0.0007181167602539062, 0.00039076805114746094, 0.0003325939178466797, 0.00019466876983642578, 0.00014925003051757812, 0.00013911724090576172, 0.00013256072998046875, 0.00011295080184936523, 9.524822235107422e-05, 8.83936882019043e-05, 8.463859558105469e-05, 8.291006088256836e-05, 8.13603401184082e-05, 7.87973403930664e-05, 7.420778274536133e-05, 7.2479248046875e-05, 5.918741226196289e-05, 5.84721565246582e-05, 5.811452865600586e-05, 5.728006362915039e-05, 5.53131103515625e-05, 5.424022674560547e-05, 5.3942203521728516e-05, 5.310773849487305e-05, 4.798173904418945e-05, 4.780292510986328e-05, 4.76837158203125e-05, 4.696846008300781e-05, 4.380941390991211e-05, 4.3392181396484375e-05, 4.100799560546875e-05, 4.100799560546875e-05, 4.094839096069336e-05, 4.0471553802490234e-05, 4.035234451293945e-05, 4.029273986816406e-05, 3.999471664428711e-05, 3.737211227416992e-05, 3.612041473388672e-05, 3.361701965332031e-05, 3.319978713989258e-05, 3.224611282348633e-05, 3.063678741455078e-05, 3.0517578125e-05, 2.9027462005615234e-05, 2.872943878173828e-05, 2.866983413696289e-05, 0.00244140625]]","[[3084, 9904, 7199, 14541, 487, 100, 243, 673, 22491, 29802, 6766, 13449, 133, 20328, 39254, 1185, 713, 14563, 510, 250, 9685, 7516, 14783, 440, 4741, 12375, 44241, 1106, 104, 894, 35882, 791, 1121, 5975, 495, 2264, 2709, 565, 597, 448, 50118, 6323, 16991, 30612, 8275, 4148, 32458, 170, 13624, 31535]]"
"[""{The English philanthropist visited the city several times and organized the construction of Mishkenot Sha'ananim, a row of dwellings built to encourage Jews to move from the overcrowded Jewish Quarter of the Old Cityto more modern and healthy places outside the walls.} question: {Mishkenot Sha'ananim was constructed by an English philanthropist.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 2370, 14054, 661, 3790, 5, 343, 484, 498, 8, 5798, 5, 1663, 9, 22975, 6944, 1242, 10319, 108, 260, 25042, 6, 10, 3236, 9, 37324, 1490, 7, 3803, 8609, 7, 517, 31, 5, 22002, 196, 4586, 10830, 9, 5, 3470, 412, 560, 55, 2297, 8, 2245, 2127, 751, 5, 6347, 49463, 864, 35, 25522, 448, 1173, 6944, 1242, 10319, 108, 260, 25042, 21, 11236, 30, 41, 2370, 14054, 661, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[6],"[[0.8203125, 0.1771240234375, 0.00018334388732910156, 0.0001137852668762207, 0.0001074671745300293, 8.696317672729492e-05, 6.67572021484375e-05, 6.401538848876953e-05, 5.614757537841797e-05, 5.5909156799316406e-05, 4.9114227294921875e-05, 4.690885543823242e-05, 4.655122756958008e-05, 4.5299530029296875e-05, 4.2438507080078125e-05, 3.9637088775634766e-05, 3.88026237487793e-05, 3.5762786865234375e-05, 3.3915042877197266e-05, 2.944469451904297e-05, 2.866983413696289e-05, 2.4020671844482422e-05, 2.3365020751953125e-05, 2.3126602172851562e-05, 2.2530555725097656e-05, 2.193450927734375e-05, 2.086162567138672e-05, 1.996755599975586e-05, 1.9788742065429688e-05, 1.6748905181884766e-05, 1.5795230865478516e-05, 1.5616416931152344e-05, 1.5437602996826172e-05, 1.52587890625e-05, 1.4841556549072266e-05, 1.4424324035644531e-05, 1.430511474609375e-05, 1.4185905456542969e-05, 1.3232231140136719e-05, 1.2814998626708984e-05, 1.2278556823730469e-05, 1.2218952178955078e-05, 1.2099742889404297e-05, 1.1920928955078125e-05, 1.1861324310302734e-05, 1.1861324310302734e-05, 1.1563301086425781e-05, 1.1205673217773438e-05, 1.1146068572998047e-05, 1.0907649993896484e-05, 0.0009765625]]","[[9904, 3084, 7199, 3216, 14541, 487, 133, 673, 44241, 100, 250, 448, 50118, 510, 243, 10004, 36948, 104, 12375, 713, 975, 1121, 2895, 565, 14783, 495, 33567, 10932, 6766, 13449, 41010, 597, 4741, 347, 22491, 20328, 29802, 387, 4688, 17425, 21674, 1106, 725, 7516, 25101, 9685, 14563, 170, 1185, 19933]]"
"['{Since NOx emissions result in formation of ground-level ozone, reducing NOx emissions will reduce ozone levels and thus reduce the deleterious effects of ozone on human health and ecosystems.} question: {The formation of ground level ozone is affected by NOx emissions.} Yes or No? answer: Ġ']","[[2, 45152, 11321, 8228, 1178, 5035, 898, 11, 9285, 9, 1255, 12, 4483, 34011, 6, 4881, 8228, 1178, 5035, 40, 1888, 34011, 1389, 8, 4634, 1888, 5, 32169, 1334, 6514, 3038, 9, 34011, 15, 1050, 474, 8, 24843, 49463, 864, 35, 25522, 133, 9285, 9, 1255, 672, 34011, 16, 2132, 30, 8228, 1178, 5035, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[7],"[[0.90478515625, 0.09088134765625, 0.0004892349243164062, 0.0003178119659423828, 0.00014865398406982422, 0.00013577938079833984, 0.00013065338134765625, 0.00010907649993896484, 0.00010585784912109375, 0.00010132789611816406, 9.059906005859375e-05, 7.236003875732422e-05, 6.80685043334961e-05, 6.777048110961914e-05, 6.759166717529297e-05, 5.429983139038086e-05, 4.839897155761719e-05, 4.6372413635253906e-05, 4.4465065002441406e-05, 3.9458274841308594e-05, 3.701448440551758e-05, 3.68952751159668e-05, 3.6597251892089844e-05, 3.421306610107422e-05, 3.325939178466797e-05, 3.314018249511719e-05, 3.0994415283203125e-05, 3.0159950256347656e-05, 2.9325485229492188e-05, 2.849102020263672e-05, 2.8431415557861328e-05, 2.8192996978759766e-05, 2.2470951080322266e-05, 2.181529998779297e-05, 2.181529998779297e-05, 2.0742416381835938e-05, 1.895427703857422e-05, 1.8775463104248047e-05, 1.8656253814697266e-05, 1.7642974853515625e-05, 1.7523765563964844e-05, 1.7464160919189453e-05, 1.6868114471435547e-05, 1.633167266845703e-05, 1.621246337890625e-05, 1.4841556549072266e-05, 1.4781951904296875e-05, 1.4662742614746094e-05, 1.4662742614746094e-05, 1.4424324035644531e-05, 0.00146484375]]","[[9904, 3084, 13449, 673, 3216, 41010, 7199, 133, 487, 250, 36948, 14783, 100, 50118, 243, 565, 10932, 713, 975, 1106, 33567, 14541, 7516, 1185, 510, 10643, 16991, 1121, 1640, 15638, 104, 8275, 448, 2895, 495, 347, 10004, 387, 3972, 46236, 725, 597, 19933, 17425, 4688, 8346, 32541, 170, 2847, 2709]]"
"['{Thus, in 1997, on average, households made less than one payment by mail for every two bills received in the mail.} question: {Households make 80% of their payments by mail.} Yes or No? answer: Ġ']","[[2, 45152, 42702, 6, 11, 7528, 6, 15, 674, 6, 8195, 156, 540, 87, 65, 3207, 30, 7107, 13, 358, 80, 4033, 829, 11, 5, 7107, 49463, 864, 35, 25522, 18691, 4208, 29, 146, 1812, 207, 9, 49, 3081, 30, 7107, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[8],"[[0.52099609375, 0.470458984375, 0.0008015632629394531, 0.0005974769592285156, 0.0005164146423339844, 0.00024580955505371094, 0.00022661685943603516, 0.00016927719116210938, 0.00016605854034423828, 0.00016355514526367188, 0.00014710426330566406, 0.00014102458953857422, 0.0001271963119506836, 0.00011426210403442383, 9.387731552124023e-05, 7.957220077514648e-05, 7.396936416625977e-05, 7.349252700805664e-05, 6.657838821411133e-05, 6.502866744995117e-05, 6.335973739624023e-05, 6.157159805297852e-05, 6.014108657836914e-05, 5.984306335449219e-05, 5.728006362915039e-05, 5.507469177246094e-05, 5.424022674560547e-05, 4.982948303222656e-05, 4.8041343688964844e-05, 4.7206878662109375e-05, 4.7147274017333984e-05, 4.3451786041259766e-05, 4.279613494873047e-05, 4.208087921142578e-05, 4.118680953979492e-05, 3.9696693420410156e-05, 3.93986701965332e-05, 3.826618194580078e-05, 3.713369369506836e-05, 3.647804260253906e-05, 3.635883331298828e-05, 3.629922866821289e-05, 3.403425216674805e-05, 3.319978713989258e-05, 3.254413604736328e-05, 3.248453140258789e-05, 3.224611282348633e-05, 3.135204315185547e-05, 2.849102020263672e-05, 2.8371810913085938e-05, 0.00341796875]]","[[3084, 9904, 36948, 7199, 487, 13449, 673, 46659, 14541, 33567, 2895, 19933, 243, 133, 713, 250, 510, 100, 448, 44241, 1121, 597, 565, 104, 10004, 3216, 29802, 25101, 21674, 50118, 41010, 1185, 4741, 495, 14563, 1106, 14783, 9690, 16991, 975, 35882, 6209, 440, 1711, 6323, 347, 1640, 10643, 10932, 8275]]"
"[""{Mary and John stand on either side of the crucified Jesus upheld by his Father, while the dove of the Holy Spirit hovers between them, the whole forming an inspiring triangle under the coffered ceiling of a Renaissance chapel.} question: {Only Jesus, alone on the cross, is depicted on the chapel's ceiling.} Yes or No? answer: Ġ""]","[[2, 45152, 24877, 8, 610, 1413, 15, 1169, 526, 9, 5, 40101, 3786, 5772, 14817, 30, 39, 9510, 6, 150, 5, 27764, 9, 5, 8427, 11758, 9379, 3697, 227, 106, 6, 5, 1086, 12748, 41, 11653, 29884, 223, 5, 32718, 3215, 9920, 9, 10, 19797, 27070, 49463, 864, 35, 25522, 19933, 5772, 6, 1937, 15, 5, 2116, 6, 16, 21520, 15, 5, 27070, 18, 9920, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[9],"[[0.61962890625, 0.37548828125, 0.0003216266632080078, 0.0002951622009277344, 0.00022089481353759766, 0.00018584728240966797, 0.00015676021575927734, 0.00011563301086425781, 0.00010710954666137695, 0.00010114908218383789, 8.785724639892578e-05, 8.666515350341797e-05, 6.920099258422852e-05, 6.890296936035156e-05, 5.453824996948242e-05, 4.696846008300781e-05, 4.595518112182617e-05, 4.172325134277344e-05, 3.886222839355469e-05, 3.820657730102539e-05, 3.647804260253906e-05, 3.3915042877197266e-05, 3.272294998168945e-05, 3.1888484954833984e-05, 3.0994415283203125e-05, 3.069639205932617e-05, 2.962350845336914e-05, 2.8908252716064453e-05, 2.753734588623047e-05, 2.664327621459961e-05, 2.6285648345947266e-05, 2.5987625122070312e-05, 2.568960189819336e-05, 2.5510787963867188e-05, 2.2649765014648438e-05, 2.2411346435546875e-05, 2.193450927734375e-05, 2.1755695343017578e-05, 2.0802021026611328e-05, 2.0742416381835938e-05, 2.0682811737060547e-05, 1.9311904907226562e-05, 1.9252300262451172e-05, 1.895427703857422e-05, 1.8477439880371094e-05, 1.8298625946044922e-05, 1.7881393432617188e-05, 1.7583370208740234e-05, 1.7464160919189453e-05, 1.704692840576172e-05, 0.001953125]]","[[3084, 9904, 487, 7199, 14541, 13449, 19933, 36948, 133, 673, 100, 243, 29802, 713, 250, 14783, 1185, 50118, 7516, 3216, 44241, 2895, 14563, 33567, 1106, 12375, 30612, 440, 975, 6209, 1121, 9685, 510, 10643, 41010, 565, 10004, 6766, 22491, 32458, 33877, 10932, 2362, 104, 448, 970, 2387, 495, 17425, 2709]]"
"[""{'Think about what you're doing,' I implored.} question: {I told him to think about his actions.} Yes or No? answer: Ġ""]","[[2, 45152, 108, 26644, 59, 99, 47, 214, 608, 1598, 38, 12956, 3995, 49463, 864, 35, 25522, 100, 174, 123, 7, 206, 59, 39, 2163, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[10],"[[0.9248046875, 0.0704345703125, 0.0005068778991699219, 0.00017964839935302734, 0.0001728534698486328, 0.00016391277313232422, 0.0001157522201538086, 0.00011116266250610352, 0.00010561943054199219, 8.952617645263672e-05, 8.684396743774414e-05, 8.428096771240234e-05, 8.273124694824219e-05, 7.337331771850586e-05, 6.908178329467773e-05, 5.614757537841797e-05, 5.173683166503906e-05, 5.1081180572509766e-05, 5.1081180572509766e-05, 4.941225051879883e-05, 4.786252975463867e-05, 4.780292510986328e-05, 4.7266483306884766e-05, 4.57763671875e-05, 4.4405460357666016e-05, 4.38690185546875e-05, 4.32133674621582e-05, 4.124641418457031e-05, 3.6716461181640625e-05, 3.4809112548828125e-05, 3.254413604736328e-05, 3.24249267578125e-05, 3.236532211303711e-05, 3.230571746826172e-05, 2.9385089874267578e-05, 2.8371810913085938e-05, 2.8192996978759766e-05, 2.753734588623047e-05, 2.7298927307128906e-05, 2.6881694793701172e-05, 2.6345252990722656e-05, 2.580881118774414e-05, 2.4497509002685547e-05, 2.4378299713134766e-05, 2.396106719970703e-05, 2.3484230041503906e-05, 2.3066997528076172e-05, 2.2590160369873047e-05, 2.205371856689453e-05, 2.0205974578857422e-05, 0.00146484375]]","[[9904, 3084, 100, 14541, 7199, 243, 10932, 3216, 1185, 133, 16991, 14783, 975, 250, 36948, 673, 8275, 713, 20328, 13624, 1106, 50118, 41010, 2387, 1121, 2264, 6766, 7516, 17425, 22491, 487, 565, 32523, 894, 13449, 170, 1711, 39254, 37478, 495, 7608, 32541, 104, 10643, 25101, 33567, 2709, 2895, 46236, 19933]]"
