text,input_ids,attention_mask,label,exp,idx_example,OPT_prob_CD,OPT_idx_CD
['{The chief complaint of reformers these days is that the power of special-interest money is breeding public cynicism about the political process.} question: {Reformers never complain about special interest money.  } Yes or No? answer: Ġ'],"[[2, 45152, 133, 834, 3674, 9, 3114, 268, 209, 360, 16, 14, 5, 476, 9, 780, 12, 15979, 418, 16, 16828, 285, 39245, 59, 5, 559, 609, 49463, 864, 35, 25522, 9064, 3899, 268, 393, 11316, 59, 780, 773, 418, 4, 1437, 35524, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[1],"[[0.57080078125, 0.40625, 0.0023651123046875, 0.0020999908447265625, 0.0010766983032226562, 0.0009174346923828125, 0.0007777214050292969, 0.0007443428039550781, 0.0003883838653564453, 0.000385284423828125, 0.00036907196044921875, 0.00035858154296875, 0.0003521442413330078, 0.0003352165222167969, 0.0003101825714111328, 0.00030875205993652344, 0.00030732154846191406, 0.0002906322479248047, 0.00029015541076660156, 0.0002777576446533203, 0.0002760887145996094, 0.0002467632293701172, 0.00024628639221191406, 0.0002455711364746094, 0.00024509429931640625, 0.00020444393157958984, 0.00020074844360351562, 0.00019371509552001953, 0.0001785755157470703, 0.0001697540283203125, 0.0001691579818725586, 0.0001646280288696289, 0.0001608133316040039, 0.0001583099365234375, 0.00015032291412353516, 0.00012600421905517578, 0.000125885009765625, 0.0001246929168701172, 0.00011456012725830078, 0.00011157989501953125, 0.00010949373245239258, 0.00010383129119873047, 9.882450103759766e-05, 9.125471115112305e-05, 8.83936882019043e-05, 8.410215377807617e-05, 8.183717727661133e-05, 7.718801498413086e-05, 7.474422454833984e-05, 7.349252700805664e-05, 0.00634765625]]","[[3084, 9904, 7199, 32523, 487, 14783, 10932, 100, 970, 33567, 29802, 440, 46236, 36948, 243, 32541, 1121, 17425, 8346, 1711, 133, 2362, 3216, 8275, 1213, 7516, 46659, 10643, 19847, 19933, 9690, 170, 25101, 250, 1185, 14541, 32476, 2264, 41010, 510, 16991, 22491, 975, 713, 597, 1106, 2709, 6766, 31535, 39254]]"
"[""{The game's up.} question: {The game keeps going.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 177, 18, 62, 49463, 864, 35, 25522, 133, 177, 4719, 164, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[2],"[[0.473876953125, 0.472412109375, 0.007312774658203125, 0.0032329559326171875, 0.0029087066650390625, 0.0028476715087890625, 0.002105712890625, 0.0016946792602539062, 0.0015201568603515625, 0.0013027191162109375, 0.001224517822265625, 0.0008535385131835938, 0.0008087158203125, 0.0007948875427246094, 0.0007944107055664062, 0.000759124755859375, 0.0007419586181640625, 0.0006690025329589844, 0.0006003379821777344, 0.0005769729614257812, 0.0004901885986328125, 0.0004563331604003906, 0.00045037269592285156, 0.0004374980926513672, 0.0004303455352783203, 0.00042176246643066406, 0.00036835670471191406, 0.000339508056640625, 0.00032782554626464844, 0.0003104209899902344, 0.0002970695495605469, 0.00028705596923828125, 0.0002779960632324219, 0.00026345252990722656, 0.0002472400665283203, 0.00024402141571044922, 0.00024306774139404297, 0.00022208690643310547, 0.0002199411392211914, 0.00021338462829589844, 0.00021278858184814453, 0.00020551681518554688, 0.00020444393157958984, 0.00020265579223632812, 0.00019502639770507812, 0.00018584728240966797, 0.00018131732940673828, 0.00017631053924560547, 0.00016963481903076172, 0.00016939640045166016, 0.0146484375]]","[[3084, 9904, 14783, 7199, 32523, 487, 100, 10932, 46236, 243, 8346, 36948, 1185, 970, 17425, 7516, 1711, 133, 33567, 8275, 19847, 32541, 1121, 170, 975, 597, 2362, 14541, 41010, 1213, 25101, 42903, 9690, 2264, 12350, 29802, 3216, 46659, 19933, 6766, 440, 713, 13984, 36446, 10643, 46149, 250, 6785, 2409, 495]]"
"[""{Nobody pointed out that at Chappaquiddick, unlike Dallas and Los Angeles, the person most responsible for the tragedy was a Kennedy, whereas the victim was not--and that Ted Kennedy's invocation of the family curse was a clever way of papering over these differences.} question: {Ted Kennedy invoked a family curse that has plagued the Kennedys.} Yes or No? answer: Ġ""]","[[2, 45152, 18975, 3273, 66, 14, 23, 732, 22181, 2253, 6502, 1758, 6, 7328, 3160, 8, 1287, 1422, 6, 5, 621, 144, 2149, 13, 5, 6906, 21, 10, 5076, 6, 9641, 5, 1802, 21, 45, 5579, 463, 14, 8115, 5076, 18, 44885, 9, 5, 284, 26020, 21, 10, 13074, 169, 9, 13102, 2961, 81, 209, 5550, 49463, 864, 35, 25522, 40348, 5076, 29198, 10, 284, 26020, 14, 34, 16145, 5, 19082, 196, 2459, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[3],"[[0.53564453125, 0.43310546875, 0.00434112548828125, 0.0028514862060546875, 0.002056121826171875, 0.0016632080078125, 0.0011644363403320312, 0.0007867813110351562, 0.0007276535034179688, 0.0006480216979980469, 0.0005474090576171875, 0.0005078315734863281, 0.00048470497131347656, 0.0004830360412597656, 0.0004589557647705078, 0.0004067420959472656, 0.0003993511199951172, 0.00038242340087890625, 0.0003788471221923828, 0.0003085136413574219, 0.0002830028533935547, 0.0002796649932861328, 0.0002732276916503906, 0.00026416778564453125, 0.00025773048400878906, 0.0002429485321044922, 0.00023043155670166016, 0.00022041797637939453, 0.00020301342010498047, 0.00019347667694091797, 0.00018513202667236328, 0.00015974044799804688, 0.00015938282012939453, 0.00015866756439208984, 0.00015819072723388672, 0.00015664100646972656, 0.0001556873321533203, 0.0001519918441772461, 0.00014269351959228516, 0.0001405477523803711, 0.00013375282287597656, 0.00011670589447021484, 0.00010675191879272461, 0.0001042485237121582, 0.00010275840759277344, 0.00010102987289428711, 9.995698928833008e-05, 9.948015213012695e-05, 9.739398956298828e-05, 9.72747802734375e-05, 0.0078125]]","[[9904, 3084, 32523, 7199, 14783, 100, 10932, 33567, 36948, 8346, 1711, 487, 46236, 243, 970, 29802, 7516, 17425, 46659, 1121, 32541, 133, 8275, 25101, 2362, 1185, 3216, 32476, 10643, 16991, 19847, 440, 9690, 250, 1213, 19933, 170, 46149, 41010, 35882, 14541, 42903, 13112, 31535, 39254, 2264, 597, 44142, 3972, 6766]]"
"['{Check with the tourist information centers for details about these and similar events at Dalemain, Holker Hall, and Muncaster Castle.} question: {The tourist information centers have information about events at Holker Hall.} Yes or No? answer: Ġ']","[[2, 45152, 26615, 19, 5, 8376, 335, 5228, 13, 1254, 59, 209, 8, 1122, 1061, 23, 7853, 991, 1851, 6, 6217, 5029, 1631, 6, 8, 6760, 15543, 8834, 49463, 864, 35, 25522, 133, 8376, 335, 5228, 33, 335, 59, 1061, 23, 6217, 5029, 1631, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[4],"[[0.70556640625, 0.26611328125, 0.0030059814453125, 0.002727508544921875, 0.0018110275268554688, 0.0015859603881835938, 0.0009064674377441406, 0.0007257461547851562, 0.0006470680236816406, 0.0006427764892578125, 0.0005512237548828125, 0.0005087852478027344, 0.0004849433898925781, 0.0003788471221923828, 0.0003402233123779297, 0.0003376007080078125, 0.00033545494079589844, 0.00030422210693359375, 0.0002810955047607422, 0.0002758502960205078, 0.0002741813659667969, 0.00026607513427734375, 0.000244140625, 0.0002415180206298828, 0.0002307891845703125, 0.00021398067474365234, 0.00021135807037353516, 0.00020384788513183594, 0.0002033710479736328, 0.0001888275146484375, 0.00017786026000976562, 0.00017595291137695312, 0.00016796588897705078, 0.00015485286712646484, 0.00015056133270263672, 0.00014793872833251953, 0.00013935565948486328, 0.00013756752014160156, 0.00013685226440429688, 0.0001366138458251953, 0.00010210275650024414, 9.608268737792969e-05, 9.08970832824707e-05, 8.869171142578125e-05, 8.463859558105469e-05, 8.398294448852539e-05, 8.398294448852539e-05, 8.100271224975586e-05, 7.516145706176758e-05, 7.200241088867188e-05, 0.0078125]]","[[9904, 3084, 32523, 7199, 10932, 14783, 100, 46236, 487, 36948, 33567, 970, 32541, 8346, 25101, 8275, 3216, 243, 133, 41010, 46659, 29802, 1711, 7516, 10643, 9690, 32476, 1185, 1121, 170, 19933, 17425, 975, 19847, 2362, 1213, 31535, 440, 2264, 14541, 250, 12350, 35882, 2709, 6209, 713, 597, 1106, 5096, 45038]]"
"['{He set up a national e-mail tree designed to get people to send their friends in Iowa to Ames as Forbes supporters.} question: {He wanted to set up a national e-mail tree, but gave up halfway.} Yes or No? answer: Ġ']","[[2, 45152, 894, 278, 62, 10, 632, 364, 12, 6380, 3907, 1887, 7, 120, 82, 7, 2142, 49, 964, 11, 4109, 7, 32456, 25, 11519, 2732, 49463, 864, 35, 25522, 894, 770, 7, 278, 62, 10, 632, 364, 12, 6380, 3907, 6, 53, 851, 62, 13177, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[5],"[[0.6533203125, 0.33154296875, 0.0016813278198242188, 0.001171112060546875, 0.0008988380432128906, 0.0007624626159667969, 0.0006585121154785156, 0.0005140304565429688, 0.0003142356872558594, 0.00029277801513671875, 0.0002849102020263672, 0.00023412704467773438, 0.00022602081298828125, 0.00021970272064208984, 0.00020611286163330078, 0.00020205974578857422, 0.00018298625946044922, 0.0001798868179321289, 0.00017905235290527344, 0.0001723766326904297, 0.00016438961029052734, 0.00016117095947265625, 0.00014579296112060547, 0.00014150142669677734, 0.0001251697540283203, 0.00011920928955078125, 0.00011342763900756836, 0.00011038780212402344, 0.00010991096496582031, 0.00010061264038085938, 9.894371032714844e-05, 9.459257125854492e-05, 9.310245513916016e-05, 9.179115295410156e-05, 8.51750373840332e-05, 8.505582809448242e-05, 8.195638656616211e-05, 7.50422477722168e-05, 7.31348991394043e-05, 7.230043411254883e-05, 7.200241088867188e-05, 7.128715515136719e-05, 6.80685043334961e-05, 5.805492401123047e-05, 5.4955482482910156e-05, 5.4895877838134766e-05, 5.4001808166503906e-05, 5.042552947998047e-05, 4.696846008300781e-05, 4.589557647705078e-05, 0.00390625]]","[[3084, 9904, 7199, 32523, 487, 14783, 10932, 100, 36948, 2362, 33567, 29802, 46236, 440, 243, 970, 7516, 8346, 1711, 1121, 8275, 46659, 133, 3216, 32541, 19847, 17425, 894, 1185, 19933, 41010, 9690, 170, 250, 25101, 510, 10643, 597, 31535, 14541, 13449, 975, 2264, 2709, 42903, 32476, 1213, 713, 1106, 3972]]"
"[""{The English philanthropist visited the city several times and organized the construction of Mishkenot Sha'ananim, a row of dwellings built to encourage Jews to move from the overcrowded Jewish Quarter of the Old Cityto more modern and healthy places outside the walls.} question: {Mishkenot Sha'ananim was constructed by an English philanthropist.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 2370, 14054, 661, 3790, 5, 343, 484, 498, 8, 5798, 5, 1663, 9, 22975, 6944, 1242, 10319, 108, 260, 25042, 6, 10, 3236, 9, 37324, 1490, 7, 3803, 8609, 7, 517, 31, 5, 22002, 196, 4586, 10830, 9, 5, 3470, 412, 560, 55, 2297, 8, 2245, 2127, 751, 5, 6347, 49463, 864, 35, 25522, 448, 1173, 6944, 1242, 10319, 108, 260, 25042, 21, 11236, 30, 41, 2370, 14054, 661, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[6],"[[0.61962890625, 0.36767578125, 0.0019025802612304688, 0.0015497207641601562, 0.0014162063598632812, 0.0004668235778808594, 0.0003619194030761719, 0.0003485679626464844, 0.0003294944763183594, 0.000278472900390625, 0.0002009868621826172, 0.0001819133758544922, 0.0001747608184814453, 0.0001556873321533203, 0.0001531839370727539, 0.0001462697982788086, 0.00013947486877441406, 0.0001270771026611328, 0.00012421607971191406, 0.00012373924255371094, 0.00012052059173583984, 0.00012004375457763672, 0.00011265277862548828, 0.00011092424392700195, 0.00010764598846435547, 0.0001061558723449707, 9.846687316894531e-05, 9.304285049438477e-05, 7.88569450378418e-05, 7.742643356323242e-05, 7.37309455871582e-05, 7.003545761108398e-05, 5.620718002319336e-05, 5.358457565307617e-05, 5.352497100830078e-05, 4.559755325317383e-05, 4.5299530029296875e-05, 4.5239925384521484e-05, 4.3332576751708984e-05, 4.32133674621582e-05, 3.737211227416992e-05, 3.421306610107422e-05, 3.147125244140625e-05, 3.081560134887695e-05, 3.081560134887695e-05, 3.045797348022461e-05, 2.9981136322021484e-05, 2.956390380859375e-05, 2.9385089874267578e-05, 2.8133392333984375e-05, 0.00244140625]]","[[9904, 3084, 32523, 10932, 7199, 14783, 487, 3216, 33567, 36948, 46236, 100, 2362, 41010, 440, 46659, 970, 29802, 1121, 133, 25101, 32541, 8346, 17425, 243, 8275, 32476, 10643, 975, 19933, 1711, 9690, 170, 16991, 250, 7516, 510, 19847, 597, 1185, 2264, 45038, 2709, 31535, 39254, 713, 1213, 448, 4420, 14541]]"
"['{Since NOx emissions result in formation of ground-level ozone, reducing NOx emissions will reduce ozone levels and thus reduce the deleterious effects of ozone on human health and ecosystems.} question: {The formation of ground level ozone is affected by NOx emissions.} Yes or No? answer: Ġ']","[[2, 45152, 11321, 8228, 1178, 5035, 898, 11, 9285, 9, 1255, 12, 4483, 34011, 6, 4881, 8228, 1178, 5035, 40, 1888, 34011, 1389, 8, 4634, 1888, 5, 32169, 1334, 6514, 3038, 9, 34011, 15, 1050, 474, 8, 24843, 49463, 864, 35, 25522, 133, 9285, 9, 1255, 672, 34011, 16, 2132, 30, 8228, 1178, 5035, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[7],"[[0.50439453125, 0.47412109375, 0.002483367919921875, 0.0024242401123046875, 0.0015001296997070312, 0.0009946823120117188, 0.0008907318115234375, 0.0007958412170410156, 0.0004582405090332031, 0.00037407875061035156, 0.00036787986755371094, 0.00035190582275390625, 0.0003342628479003906, 0.0003325939178466797, 0.0002856254577636719, 0.0002715587615966797, 0.0002639293670654297, 0.0002593994140625, 0.0002522468566894531, 0.00024187564849853516, 0.00022983551025390625, 0.00022041797637939453, 0.0002111196517944336, 0.00021028518676757812, 0.0001976490020751953, 0.0001882314682006836, 0.00018596649169921875, 0.00016760826110839844, 0.00014543533325195312, 0.0001437664031982422, 0.0001207590103149414, 0.00011354684829711914, 0.00011301040649414062, 0.00011080503463745117, 0.00011056661605834961, 9.804964065551758e-05, 9.238719940185547e-05, 8.219480514526367e-05, 8.14199447631836e-05, 7.95125961303711e-05, 7.772445678710938e-05, 7.551908493041992e-05, 7.43865966796875e-05, 7.31348991394043e-05, 6.979703903198242e-05, 6.74128532409668e-05, 6.580352783203125e-05, 5.888938903808594e-05, 5.710124969482422e-05, 5.441904067993164e-05, 0.0048828125]]","[[9904, 3084, 7199, 32523, 10932, 33567, 14783, 487, 100, 3216, 36948, 46236, 440, 13449, 46659, 41010, 2362, 8346, 1121, 29802, 243, 17425, 970, 25101, 133, 8275, 1711, 7516, 19847, 9690, 32541, 10643, 1185, 42903, 19933, 170, 250, 31535, 16991, 32476, 975, 1213, 597, 44142, 12350, 6209, 2264, 791, 33239, 46149]]"
"['{Thus, in 1997, on average, households made less than one payment by mail for every two bills received in the mail.} question: {Households make 80% of their payments by mail.} Yes or No? answer: Ġ']","[[2, 45152, 42702, 6, 11, 7528, 6, 15, 674, 6, 8195, 156, 540, 87, 65, 3207, 30, 7107, 13, 358, 80, 4033, 829, 11, 5, 7107, 49463, 864, 35, 25522, 18691, 4208, 29, 146, 1812, 207, 9, 49, 3081, 30, 7107, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[8],"[[0.49951171875, 0.48046875, 0.002349853515625, 0.0018177032470703125, 0.000904083251953125, 0.0008959770202636719, 0.00064849853515625, 0.0005545616149902344, 0.00041985511779785156, 0.00040721893310546875, 0.00035881996154785156, 0.0003483295440673828, 0.0003304481506347656, 0.0003237724304199219, 0.0003228187561035156, 0.0002994537353515625, 0.00027298927307128906, 0.00024580955505371094, 0.00024127960205078125, 0.0002321004867553711, 0.00021851062774658203, 0.00018846988677978516, 0.0001837015151977539, 0.0001811981201171875, 0.0001806020736694336, 0.00017821788787841797, 0.0001577138900756836, 0.00013005733489990234, 0.00012958049774169922, 0.00011909008026123047, 0.00010889768600463867, 0.00010675191879272461, 0.00010496377944946289, 9.244680404663086e-05, 9.113550186157227e-05, 8.90493392944336e-05, 8.028745651245117e-05, 7.534027099609375e-05, 7.480382919311523e-05, 7.11679458618164e-05, 6.759166717529297e-05, 6.717443466186523e-05, 6.711483001708984e-05, 6.67572021484375e-05, 6.55055046081543e-05, 6.41942024230957e-05, 6.389617919921875e-05, 6.192922592163086e-05, 6.127357482910156e-05, 6.002187728881836e-05, 0.005859375]]","[[3084, 9904, 7199, 32523, 10932, 14783, 487, 33567, 9690, 100, 25101, 46236, 36948, 3216, 1121, 1711, 440, 8346, 29802, 19933, 970, 17425, 10643, 133, 243, 2362, 8275, 597, 250, 41010, 46659, 32541, 510, 7516, 1185, 2709, 1106, 975, 32476, 288, 713, 2264, 3762, 170, 1213, 38423, 19847, 14541, 44142, 13984]]"
"[""{Mary and John stand on either side of the crucified Jesus upheld by his Father, while the dove of the Holy Spirit hovers between them, the whole forming an inspiring triangle under the coffered ceiling of a Renaissance chapel.} question: {Only Jesus, alone on the cross, is depicted on the chapel's ceiling.} Yes or No? answer: Ġ""]","[[2, 45152, 24877, 8, 610, 1413, 15, 1169, 526, 9, 5, 40101, 3786, 5772, 14817, 30, 39, 9510, 6, 150, 5, 27764, 9, 5, 8427, 11758, 9379, 3697, 227, 106, 6, 5, 1086, 12748, 41, 11653, 29884, 223, 5, 32718, 3215, 9920, 9, 10, 19797, 27070, 49463, 864, 35, 25522, 19933, 5772, 6, 1937, 15, 5, 2116, 6, 16, 21520, 15, 5, 27070, 18, 9920, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[9],"[[0.591796875, 0.3896484375, 0.0022220611572265625, 0.0019044876098632812, 0.0006537437438964844, 0.0005803108215332031, 0.0005731582641601562, 0.0005507469177246094, 0.0004608631134033203, 0.00040268898010253906, 0.0003952980041503906, 0.0002994537353515625, 0.0002899169921875, 0.0002853870391845703, 0.00025200843811035156, 0.0002512931823730469, 0.0002453327178955078, 0.0002429485321044922, 0.0002162456512451172, 0.00020492076873779297, 0.0001932382583618164, 0.00019025802612304688, 0.0001894235610961914, 0.0001811981201171875, 0.00016868114471435547, 0.0001596212387084961, 0.00015163421630859375, 0.00014126300811767578, 0.00013899803161621094, 0.0001227855682373047, 0.0001220703125, 0.00010842084884643555, 0.00010669231414794922, 0.00010514259338378906, 0.00010144710540771484, 0.00010025501251220703, 9.834766387939453e-05, 9.733438491821289e-05, 8.237361907958984e-05, 8.159875869750977e-05, 8.034706115722656e-05, 6.622076034545898e-05, 6.383657455444336e-05, 6.383657455444336e-05, 6.175041198730469e-05, 6.085634231567383e-05, 6.008148193359375e-05, 5.918741226196289e-05, 5.3882598876953125e-05, 5.131959915161133e-05, 0.00537109375]]","[[3084, 9904, 32523, 7199, 10932, 36948, 487, 14783, 46659, 33567, 100, 970, 29802, 440, 243, 19933, 25101, 3216, 1711, 133, 46236, 1121, 2362, 8275, 17425, 8346, 19847, 7516, 32541, 10643, 41010, 1185, 170, 250, 510, 9690, 32476, 975, 16991, 597, 2264, 31535, 14541, 44142, 713, 1213, 39254, 2709, 6209, 3684]]"
"[""{'Think about what you're doing,' I implored.} question: {I told him to think about his actions.} Yes or No? answer: Ġ""]","[[2, 45152, 108, 26644, 59, 99, 47, 214, 608, 1598, 38, 12956, 3995, 49463, 864, 35, 25522, 100, 174, 123, 7, 206, 59, 39, 2163, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[10],"[[0.654296875, 0.307861328125, 0.00424957275390625, 0.0035114288330078125, 0.00347137451171875, 0.0032672882080078125, 0.0016450881958007812, 0.0011625289916992188, 0.0006489753723144531, 0.0006432533264160156, 0.0006399154663085938, 0.0006384849548339844, 0.0006070137023925781, 0.0005393028259277344, 0.00045752525329589844, 0.00045752525329589844, 0.000423431396484375, 0.0003972053527832031, 0.0003905296325683594, 0.00038743019104003906, 0.0003101825714111328, 0.00029397010803222656, 0.00028705596923828125, 0.00028228759765625, 0.0002765655517578125, 0.0002579689025878906, 0.0002541542053222656, 0.00024771690368652344, 0.00024127960205078125, 0.00022482872009277344, 0.00021922588348388672, 0.0002105236053466797, 0.00020062923431396484, 0.00019490718841552734, 0.00019216537475585938, 0.00018918514251708984, 0.00017845630645751953, 0.00016570091247558594, 0.00015115737915039062, 0.00014972686767578125, 0.00014650821685791016, 0.00014412403106689453, 0.0001360177993774414, 0.00013256072998046875, 0.00013208389282226562, 0.00012874603271484375, 0.00011742115020751953, 0.00011372566223144531, 0.00011259317398071289, 0.0001125335693359375, 0.00830078125]]","[[9904, 3084, 32523, 100, 14783, 7199, 10932, 487, 17425, 8346, 243, 36948, 46236, 8275, 3216, 1711, 1185, 33567, 32541, 7516, 19847, 970, 894, 2264, 10643, 25101, 14541, 2362, 1121, 440, 46659, 29802, 133, 1213, 9690, 975, 19933, 170, 41010, 31535, 6209, 1106, 32476, 6766, 35882, 42903, 12350, 5096, 250, 46149]]"
