model,approach,id_accuracy
OPT-350M,CD,"54,30"
OPT-350M,CD,"51,37"
OPT-350M,CD,"53,91"
OPT-350M,CD,"54,1"
OPT-350M,CD,"54,59"
OPT-350M,CD,"54,10"
OPT-350M,CD,"54,10"
OPT-350M,CD,"54,10"
OPT-350M,CD,"54,00"
OPT-350M,CD,"52,93"
OPT-1.3B,CD,"54,49"
OPT-1.3B,CD,"56,64"
OPT-1.3B,CD,"55,17"
OPT-1.3B,CD,"58,69"
OPT-1.3B,CD,"55,08"
OPT-1.3B,CD,"55,57"
OPT-1.3B,CD,"56,15"
OPT-1.3B,CD,"56,64"
OPT-1.3B,CD,"55,37"
OPT-1.3B,CD,"56,64"
OPT-2.7B,CD,"52,64"
OPT-2.7B,CD,"54,2"
OPT-2.7B,CD,"54,59"
OPT-2.7B,CD,"53,32"
OPT-2.7B,CD,"53,03"
OPT-2.7B,CD,"54,69"
OPT-2.7B,CD,"52,44"
OPT-2.7B,CD,"52,05"
OPT-2.7B,CD,"53,52"
OPT-2.7B,CD,"53,81"
OPT-350M,Selective_CD,"55,08"
OPT-350M,Selective_CD,"52,44"
OPT-350M,Selective_CD,"54,59"
OPT-350M,Selective_CD,"55,27"
OPT-350M,Selective_CD,"54,98"
OPT-350M,Selective_CD,"54,39"
OPT-350M,Selective_CD,"53,81"
OPT-350M,Selective_CD,"53,61"
OPT-350M,Selective_CD,"54,59"
OPT-350M,Selective_CD,"54,49"
OPT-1.3B,Selective_CD,"57,32"
OPT-1.3B,Selective_CD,"54,39"
OPT-1.3B,Selective_CD,"57,13"
OPT-1.3B,Selective_CD,"56,64"
OPT-1.3B,Selective_CD,"50,29"
OPT-1.3B,Selective_CD,"57,62"
OPT-1.3B,Selective_CD,"56,34"
OPT-1.3B,Selective_CD,"56,25"
OPT-1.3B,Selective_CD,"56,05"
OPT-1.3B,Selective_CD,"55,37"
OPT-2.7B,Selective_CD,"57,32"
OPT-2.7B,Selective_CD,"57,34"
OPT-2.7B,Selective_CD,"55,66"
OPT-2.7B,Selective_CD,"58,5"
OPT-2.7B,Selective_CD,"55,86"
OPT-2.7B,Selective_CD,"56,25"
OPT-2.7B,Selective_CD,"54,59"
OPT-2.7B,Selective_CD,"56,64"
OPT-2.7B,Selective_CD,"54,88"
OPT-2.7B,Selective_CD,"57,52"
OPT-350M,Virtual_token_CD_FT,"52,15"
OPT-350M,Virtual_token_CD_FT,"53,22"
OPT-350M,Virtual_token_CD_FT,"56,44"
OPT-350M,Virtual_token_CD_FT,"54,59"
OPT-350M,Virtual_token_CD_FT,"54,69"
OPT-350M,Virtual_token_CD_FT,"53,61"
OPT-350M,Virtual_token_CD_FT,"54,29"
OPT-350M,Virtual_token_CD_FT,"53,71"
OPT-350M,Virtual_token_CD_FT,"56,05"
OPT-350M,Virtual_token_CD_FT,"58,79"
OPT-1.3B,Virtual_token_CD_FT,"55,76"
OPT-1.3B,Virtual_token_CD_FT,"58,98"
OPT-1.3B,Virtual_token_CD_FT,"55,76"
OPT-1.3B,Virtual_token_CD_FT,"55,96"
OPT-1.3B,Virtual_token_CD_FT,"53,42"
OPT-1.3B,Virtual_token_CD_FT,"60,64"
OPT-1.3B,Virtual_token_CD_FT,"58,01"
OPT-1.3B,Virtual_token_CD_FT,"57,71"
OPT-1.3B,Virtual_token_CD_FT,"53,32"
OPT-1.3B,Virtual_token_CD_FT,"54,39"
OPT-2.7B,Virtual_token_CD_FT,"52,44"
OPT-2.7B,Virtual_token_CD_FT,"53,71"
OPT-2.7B,Virtual_token_CD_FT,54
OPT-2.7B,Virtual_token_CD_FT,"53,32"
OPT-2.7B,Virtual_token_CD_FT,"53,12"
OPT-2.7B,Virtual_token_CD_FT,"55,17"
OPT-2.7B,Virtual_token_CD_FT,"54,1"
OPT-2.7B,Virtual_token_CD_FT,"53,42"
OPT-2.7B,Virtual_token_CD_FT,"53,61"
OPT-2.7B,Virtual_token_CD_FT,"54,1"
OPT-6.7B,Virtual_token_CD_FT,"62,6"
OPT-6.7B,Virtual_token_CD_FT,"63,47"
OPT-6.7B,Virtual_token_CD_FT,"61,33"
OPT-6.7B,Virtual_token_CD_FT,"62,3"
OPT-6.7B,Virtual_token_CD_FT,"65,23"
OPT-6.7B,Virtual_token_CD_FT,"65,14"
OPT-6.7B,Virtual_token_CD_FT,"61,52"
OPT-6.7B,Virtual_token_CD_FT,"62,89"
OPT-6.7B,Virtual_token_CD_FT,"62,69"
OPT-6.7B,Virtual_token_CD_FT,"59,18"
OPT-350M,CD_LoRA,"53,81"
OPT-350M,CD_LoRA,"54,10"
OPT-350M,CD_LoRA,"54,69"
OPT-350M,CD_LoRA,"54,69"
OPT-350M,CD_LoRA,"53,81"
OPT-350M,CD_LoRA,"53,71"
OPT-350M,CD_LoRA,"52,64"
OPT-350M,CD_LoRA,"52,15"
OPT-350M,CD_LoRA,"54,49"
OPT-350M,CD_LoRA,"53,03"
OPT-1.3B,CD_LoRA,"55,47"
OPT-1.3B,CD_LoRA,"62,11"
OPT-1.3B,CD_LoRA,"53,42"
OPT-1.3B,CD_LoRA,"57,91"
OPT-1.3B,CD_LoRA,"54,00"
OPT-1.3B,CD_LoRA,"57,32"
OPT-1.3B,CD_LoRA,"59,38"
OPT-1.3B,CD_LoRA,"54,98"
OPT-1.3B,CD_LoRA,"54,10"
OPT-1.3B,CD_LoRA,"53,52"
OPT-2.7B,CD_LoRA,"53,91"
OPT-2.7B,CD_LoRA,"56,25"
OPT-2.7B,CD_LoRA,"56,25"
OPT-2.7B,CD_LoRA,"55,27"
OPT-2.7B,CD_LoRA,"56,45"
OPT-2.7B,CD_LoRA,"55,86"
OPT-2.7B,CD_LoRA,"54,59"
OPT-2.7B,CD_LoRA,"52,34"
OPT-2.7B,CD_LoRA,"53,22"
OPT-2.7B,CD_LoRA,"53,52"
OPT-6.7B,CD_LoRA,"66,11"
OPT-6.7B,CD_LoRA,"66,41"
OPT-6.7B,CD_LoRA,"66,41"
OPT-6.7B,CD_LoRA,"62,79"
OPT-6.7B,CD_LoRA,"63,48"
OPT-6.7B,CD_LoRA,"66,50"
OPT-6.7B,CD_LoRA,"64,84"
